Text;fraud_value;type
Besök avbokas om ingen bekräftelse sker: [FAKE-LÄNK];1;SMS
Pris reserverat i ditt namn. Aktivera nu: [FAKE-LÄNK];1;SMS
Verifiera ålder för att få belöning: [FAKE-LÄNK];1;SMS
Gratisperiod slut. Fortsätt utan avbrott: [FAKE-LÄNK];1;SMS
Kontot pausat tills verifiering är klar: [FAKE-LÄNK];1;SMS
Återbetalning misslyckades. Bekräfta konto: [FAKE-LÄNK];1;SMS
Transaktion väntar på godkännande. Godkänn nu: [FAKE-LÄNK];1;SMS
Paket returneras ikväll om inget svar ges: [FAKE-LÄNK];1;SMS
Fel postnummer angivet. Uppdatera innan kl 18:00: [FAKE-LÄNK];1;SMS
Tullavgift saknas. Betala nu: [FAKE-LÄNK];1;SMS
Ny enhet upptäckt. Godkänn åtkomst: [FAKE-LÄNK];1;SMS
Säkerhetskontroll krävs för fortsatt användning: [FAKE-LÄNK];1;SMS
Vi blockerade en begäran. Var det du? Bekräfta här: [FAKE-LÄNK];1;SMS
;;
Är du på väg hem snart?;0;SMS
Glöm inte att handla mjölk på vägen.;0;SMS
Kan vi ses kl 18 istället?;0;SMS
Tåget är lite sent men jag är snart framme.;0;SMS
Ring mig när du har tid.;0;SMS
Jag har lagt nyckeln under mattan.;0;SMS
Mötet är flyttat till imorgon kl 10.;0;SMS
Tack för hjälpen idag!;0;SMS
Jag jobbar sent ikväll, hörs senare.;0;SMS
Kan du skicka adressen igen?;0;SMS
Påminnelse om tandläkartid imorgon kl 14.;0;SMS
Vi ses vid entrén om 5 minuter.;0;SMS
Barnen är hämtade från skolan nu.;0;SMS
Filmen börjar 20:30.;0;SMS
Jag skickade mejlet nyss.;0;SMS
Behöver du skjuts imorgon?;0;SMS
Kan du swisha mig för lunchen?;0;SMS
Har du sett mina glasögon?;0;SMS
Jag är hemma nu.;0;SMS
Träningen är inställd ikväll.;0;SMS
Vi hörs efter jobbet.;0;SMS
Lycka till på intervjun!;0;SMS
Jag kommer 10 minuter sent.;0;SMS
Har lagt upp filerna i vår chatt.;0;SMS
Säg till när du är framme.;0;SMS
Vill du ta en kaffe senare?;0;SMS
Jag lagar middag idag.;0;SMS
Kan du passa hunden imorgon?;0;SMS
Jag har bokat bord kl 19.;0;SMS
Glöm inte paraply, det regnar.;0;SMS
Vi behöver boka om mötet.;0;SMS
Jag skickar fakturan idag.;0;SMS
Ses hos läkaren kl 09.;0;SMS
Tack för igår!;0;SMS
Jag jobbar hemifrån idag.;0;SMS
Hör av dig när du vaknat.;0;SMS
Kan du öppna dörren?;0;SMS
Vi åker om 15 minuter.;0;SMS
Jag har laddat bilen.;0;SMS
Kom ihåg passet.;0;SMS
Jag tar med snacks.;0;SMS
Kan vi prata senare?;0;SMS
Jag är sjuk idag.;0;SMS
Vi vann matchen!;0;SMS
Glöm inte mössan.;0;SMS
Jag har skickat pengarna.;0;SMS
Filmen var jättebra.;0;SMS
Ses imorgon!;0;SMS
;;
Hej! Här kommer mötesanteckningarna från idag.;0;EMAIL
Faktura för april bifogas detta mejl.;0;EMAIL
Vi har uppdaterat policydokumentet enligt överenskommelse.;0;EMAIL
Tack för din ansökan, vi återkommer inom kort.;0;EMAIL
Påminnelse om möte imorgon kl 09.;0;EMAIL
Kvittot från ditt köp finns bifogat.;0;EMAIL
Kan du granska rapporten innan fredag?;0;EMAIL
Välkommen till kursen! Information finns nedan.;0;EMAIL
Jag har lagt till kommentarer i dokumentet.;0;EMAIL
Bekräftelse på din bokning.;0;EMAIL
Semestern är nu registrerad i systemet.;0;EMAIL
Angående vårt samtal tidigare idag.;0;EMAIL
Din supportförfrågan har mottagits.;0;EMAIL
Här är presentationen från mötet.;0;EMAIL
Vi ses på kontoret imorgon.;0;EMAIL
Uppdaterad tidsplan bifogas.;0;EMAIL
Påminnelse: lämna in rapporten.;0;EMAIL
Tack för snabbt svar.;0;EMAIL
Jag har nu godkänt ändringarna.;0;EMAIL
Vänligen se bifogad fil.;0;EMAIL
Vi har mottagit din betalning.;0;EMAIL
Information om kommande driftstopp.;0;EMAIL
Mötet är flyttat till nästa vecka.;0;EMAIL
Tack för samarbetet.;0;EMAIL
Återkoppling på ditt förslag.;0;EMAIL
Ditt konto har tillfälligt stängts. Logga in här för att återställa: [FAKE-LÄNK];1;EMAIL
Ovanlig inloggning upptäckt. Bekräfta din identitet nu: [FAKE-LÄNK];1;EMAIL
Vi kunde inte behandla din betalning. Uppdatera kortuppgifter: [FAKE-LÄNK];1;EMAIL
Du har ett oläst myndighetsmeddelande. Läs här: [FAKE-LÄNK];1;EMAIL
Din e-post kommer raderas om du inte verifierar idag: [FAKE-LÄNK];1;EMAIL
Grattis! Du har valts ut för en belöning. Hämta nu: [FAKE-LÄNK];1;EMAIL
Säkerhetsuppdatering krävs omedelbart. Klicka här: [FAKE-LÄNK];1;EMAIL
Vi har spärrat ditt konto pga misstänkt aktivitet. Åtgärda: [FAKE-LÄNK];1;EMAIL
Bekräfta din leveransadress för att få paketet: [FAKE-LÄNK];1;EMAIL
Misslyckad inloggning. Var detta du? Bekräfta här: [FAKE-LÄNK];1;EMAIL
Din återbetalning väntar på verifiering: [FAKE-LÄNK];1;EMAIL
Obetald faktura. Betala nu för att undvika extra avgift: [FAKE-LÄNK];1;EMAIL
Ditt konto kommer stängas inom 24h: [FAKE-LÄNK];1;EMAIL
Ny röstmeddelande finns tillgängligt. Lyssna här: [FAKE-LÄNK];1;EMAIL
Verifiera ditt lösenord för fortsatt åtkomst: [FAKE-LÄNK];1;EMAIL
Fel i din profil upptäckt. Uppdatera information: [FAKE-LÄNK];1;EMAIL
Du har mottagit en säker fil. Öppna här: [FAKE-LÄNK];1;EMAIL
Betalning väntar på ditt godkännande: [FAKE-LÄNK];1;EMAIL
Din lagring är full. Uppgradera nu: [FAKE-LÄNK];1;EMAIL
Sista påminnelse – bekräfta kontot idag: [FAKE-LÄNK];1;EMAIL
Vi kunde inte leverera ditt meddelande. Åtgärda nu: [FAKE-LÄNK];1;EMAIL
Din identitet måste verifieras enligt nya regler: [FAKE-LÄNK];1;EMAIL
Kontoaktivitet kräver omedelbar åtgärd: [FAKE-LÄNK];1;EMAIL
Logga in för att undvika permanent avstängning: [FAKE-LÄNK];1;EMAIL
Bekräftelse saknas. Slutför processen här: [FAKE-LÄNK];1;EMAIL
;;
